created_timestamp,preferred_marketplace,country,device_family,ASIN,action_performed,alert_type,desired_page_location
2025-02-20T22:42:37Z,www.amazon.com,Not Available,Kindle for iOS,B0CKMFZN5Z,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-12-10T13:43:31Z,www.amazon.com,Not Available,Kindle for iOS,B07JH7ZKVX,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-11-04T20:58:19Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2025-01-07T14:16:16Z,www.amazon.com,Not Available,Kindle for iOS,B079JYG6D4,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2025-03-05T23:11:22Z,www.amazon.com,Not Available,Kindle for iOS,B0DD1VWZ4Z,Customer stayed on current page,Most Recent Page Read Bottom Sheet,Current Page
2025-05-09T19:46:42Z,www.amazon.com,Not Available,,B00P2RBHPS,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-08-30T21:51:23Z,www.amazon.com,Not Available,Kindle for iOS,B0DDJXD72B,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2025-10-03T03:47:16Z,www.amazon.com,Not Available,Kindle for iOS,B0DCG89SDJ,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-04-21T22:09:46Z,www.amazon.com,Not Available,Kindle for iOS,B01N9F5IOL,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
2025-02-14T22:50:36Z,www.amazon.com,Not Available,Kindle for iOS,B0D3C17M1Z,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-04-05T11:18:56Z,www.amazon.com,Not Available,Kindle for iOS,B008WOTQGU,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-10-22T18:14:17Z,www.amazon.com,Not Available,Kindle for iOS,B0CPD3911D,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2025-05-14T20:18:59Z,www.amazon.com,Not Available,,B0188332MI,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
2025-08-01T15:54:31Z,www.amazon.com,Not Available,Kindle for iOS,B0D5YMWD9Y,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2025-02-13T19:44:33Z,www.amazon.com,Not Available,Kindle for iOS,B0CW1FKFB9,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-04-24T02:36:25Z,www.amazon.com,Not Available,Kindle for iOS,B0B89YQFNX,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
