created_timestamp,preferred_marketplace,country,device_family,ASIN,dialog_type_displayed
2024-04-06T15:24:09Z,US,US,Kindle E-reader,B00BKK6E04,More options dialog
2024-03-30T00:52:39Z,US,US,Kindle E-reader,B0CYWDS6CT,More options dialog
2024-04-08T21:15:56Z,US,US,Kindle E-reader,B00O6V45CS,More options dialog
2024-04-02T01:27:55Z,US,US,Kindle E-reader,B0BHLBHG79,Sync To Furthest Reading Position dialog
