campaign,preferred_marketplace,country,device_family,kindle_software_version,session_id,campaign_status,last_used_ASIN,home_page_number,campaign_display_position
2024-04-15T00:45:53.318Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,1,0
2024-03-31T12:47:28.366Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,Not Available,1,1
2024-04-07T02:38:03.585Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,B00O6V45E6,1,2
2024-04-08T02:11:28.431Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,4,9
2024-03-30T18:57:29.510Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,B09DTJF1WD,1,2
2024-03-30T01:04:51.345Z,US,US,Kindle E-reader,4193160020,133-3891806-0736958,displayed,Not Available,2,4
2024-04-15T00:54:50.078Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,Not Available,1,1
2024-03-30T21:36:20.897Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,1,2
2024-04-08T22:50:20.173Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,B00O6V45CS,1,1
2024-03-30T19:47:05.934Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,B09DTJF1WD,1,1
2024-03-30T05:39:20.414Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,B07ZFZZ2GQ,1,1
2024-04-06T00:51:40.934Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,1,0
2024-04-13T13:15:01.738Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,Not Available,1,1
2024-04-08T10:54:08.555Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,Not Available,1,1
2024-04-07T03:08:02.187Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,1,2
2024-03-29T02:46:00.780Z,US,US,Kindle E-reader,3924990005,133-3891806-0736958,displayed,Not Available,4,11
2024-04-06T01:48:40.556Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,Not Available,1,1
2024-04-11T03:24:56.830Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,B01L7Q54NI,1,0
2024-04-08T02:04:50.169Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,4,9
