created_timestamp,country,preferred_marketplace,device_family,active_ASIN,error_message,user_response
2024-03-30T00:43:29Z,Not Available,US,Kindle for iOS,Not Available,Title Not Available,Cancel
2024-03-30T00:43:23Z,Not Available,US,Kindle for iOS,Not Available,Title Not Available,Cancel
2024-03-30T00:43:27Z,Not Available,US,Kindle for iOS,Not Available,Title Not Available,Cancel
2024-03-30T00:43:25Z,Not Available,US,Kindle for iOS,Not Available,Title Not Available,Cancel
2024-02-23T22:22:50Z,Not Available,US,Mac,Not Available,Title Not Available,Cancel
2024-03-30T00:43:20Z,Not Available,US,Kindle for iOS,Not Available,Title Not Available,Cancel
