created_timestamp,preferred_marketplace,country,device_family,ASIN,Reading Customization Setting Changed,Previous Setting Value,Setting New Value
2025-09-21T21:13:27Z,www.amazon.com,,Kindle for iOS,3984724CEF794A0FAABD20B80318BFC9,Reading Progress Currently Displayed Option,Time Left In Book,Current Page Number
2025-07-25T23:33:47Z,www.amazon.com,,Kindle for iOS,F9E1D97B26F64086B915F88D6A59002F,Reading Progress Currently Displayed Option,Time Left In Book,Current Page Number
2025-08-21T19:34:50Z,www.amazon.com,,Kindle for iOS,B07DMZ5YR9,Reading Progress Currently Displayed Option,Current Page Number,Time Left In Chapter
2025-08-23T22:29:36Z,www.amazon.com,,Kindle for iOS,B0D7ZVQG2N,Reading Progress Currently Displayed Option,Current Page Number,Time Left In Chapter
2025-10-05T00:07:45Z,www.amazon.com,,Kindle for iOS,B0DCG89SDJ,Reading Progress Currently Displayed Option,Time Left In Book,Current Page Number
2025-09-21T23:33:40Z,www.amazon.com,,Kindle for iOS,3984724CEF794A0FAABD20B80318BFC9,Reading Progress Currently Displayed Option,Time Left In Chapter,Time Left In Book
2025-09-13T21:34:06Z,www.amazon.com,,Kindle for iOS,7841469D0E8342F98B7A7247C562830D,Reading Progress Currently Displayed Option,Current Location,Time Left In Chapter
2025-10-06T00:14:05Z,www.amazon.com,US,Kindle for Android,B0DCG89SDJ,TurnPagesWithVolumeControlsSwitch,Off,On
2025-08-01T02:33:02Z,www.amazon.com,,Kindle for iOS,75138A0188C24E0CB2340EECDBF7A111,Reading Progress Currently Displayed Option,Time Left In Book,Current Location
2025-10-05T20:34:07Z,www.amazon.com,US,Kindle for Android,Not Available,Line Spacing Mode,Medium,Small
2025-10-01T01:59:25Z,www.amazon.com,,Kindle for iOS,B0CFDCMPVC,Reading Progress Currently Displayed Option,Current Page Number,Time Left In Chapter
2025-09-22T01:33:18Z,www.amazon.com,,Kindle for iOS,3984724CEF794A0FAABD20B80318BFC9,Reading Progress Currently Displayed Option,Current Page Number,Time Left In Chapter
2025-09-02T03:52:40Z,www.amazon.com,,Kindle for iOS,B0C6NBLBL2,Reading Progress Currently Displayed Option,Current Page Number,Time Left In Chapter
2025-09-25T17:09:57Z,www.amazon.com,,Kindle for iOS,B08LDYBGJD,Reading Progress Currently Displayed Option,Time Left In Book,Current Page Number
2025-08-03T12:37:07Z,www.amazon.com,,Kindle for iOS,B0CZP7QV5D,Reading Progress Currently Displayed Option,Current Page Number,Time Left In Chapter
2025-08-21T23:23:07Z,www.amazon.com,,Kindle for iOS,B07DMZ5YR9,Reading Progress Currently Displayed Option,Time Left In Chapter,Time Left In Book
2025-08-22T01:07:08Z,www.amazon.com,,Kindle for iOS,B07DMZ5YR9,Reading Progress Currently Displayed Option,Time Left In Book,Current Page Number
2025-10-03T03:15:00Z,www.amazon.com,,Kindle for iOS,B0DCG89SDJ,Reading Progress Currently Displayed Option,Current Page Number,Time Left In Chapter
2025-09-30T03:02:56Z,www.amazon.com,,Kindle for iOS,B0BSG1XDTR,Reading Progress Currently Displayed Option,Current Page Number,Time Left In Chapter
2025-09-29T23:33:02Z,www.amazon.com,,Kindle for iOS,B0BSG1XDTR,Reading Progress Currently Displayed Option,Time Left In Book,Current Page Number
2025-08-24T15:03:59Z,www.amazon.com,,Kindle for iOS,B0D7ZVQG2N,Reading Progress Currently Displayed Option,Time Left In Chapter,Time Left In Book
2025-09-13T23:40:37Z,www.amazon.com,,Kindle for iOS,7841469D0E8342F98B7A7247C562830D,Reading Progress Currently Displayed Option,Time Left In Chapter,Time Left In Book
2025-07-25T22:38:12Z,www.amazon.com,,Kindle for iOS,F9E1D97B26F64086B915F88D6A59002F,Reading Progress Currently Displayed Option,Time Left In Chapter,Time Left In Book
2025-10-05T21:03:48Z,www.amazon.com,US,Kindle for Android,B0DCG89SDJ,Brightness,65,100
2025-08-10T14:20:46Z,www.amazon.com,,Kindle for iOS,75138A0188C24E0CB2340EECDBF7A111,Reading Progress Currently Displayed Option,Time Left In Book,Current Location
2025-09-11T01:26:27Z,www.amazon.com,,Kindle for iOS,7841469D0E8342F98B7A7247C562830D,Reading Progress Currently Displayed Option,Time Left In Chapter,Time Left In Book
2025-08-01T02:48:52Z,www.amazon.com,,Kindle for iOS,75138A0188C24E0CB2340EECDBF7A111,Reading Progress Currently Displayed Option,Current Location,Time Left In Chapter
2025-08-31T19:55:13Z,www.amazon.com,,Kindle for iOS,B0DPX5M3BH,Reading Progress Currently Displayed Option,Time Left In Book,Current Page Number
2025-08-25T01:58:28Z,www.amazon.com,,Kindle for iOS,B004CLYLCG,Reading Progress Currently Displayed Option,Current Page Number,Time Left In Chapter
2025-10-06T00:36:30Z,www.amazon.com,US,Kindle for Android,B0DCG89SDJ,Reading Progress Currently Displayed Option,Current Page Number,Time Left In Chapter
2025-08-21T19:10:31Z,www.amazon.com,,Kindle for iOS,B07DMZ5YR9,Reading Progress Currently Displayed Option,Current Page Number,Time Left In Chapter
2025-09-27T02:03:06Z,www.amazon.com,,Kindle for iOS,B08LDYBGJD,Reading Progress Currently Displayed Option,Time Left In Book,Current Page Number
2025-10-05T21:03:46Z,www.amazon.com,US,Kindle for Android,B0DCG89SDJ,Brightness,33,65
2025-08-30T18:31:46Z,www.amazon.com,,Kindle for iOS,B0DB2L4TWY,Reading Progress Currently Displayed Option,Time Left In Book,Current Page Number
2025-09-28T03:32:56Z,www.amazon.com,,Kindle for iOS,B09DLCLRK4,Reading Progress Currently Displayed Option,Time Left In Chapter,Time Left In Book
2025-09-06T22:24:21Z,www.amazon.com,,Kindle for iOS,5DE54701F9AB457893A2E196F7E4F894,Reading Progress Currently Displayed Option,Current Page Number,Time Left In Chapter
2025-10-05T20:34:07Z,www.amazon.com,US,Kindle for Android,Not Available,Background Color Mode,White,White
