created_timestamp,preferred_marketplace,country,device_family,last_used_ASIN,kindle_software_version,action_performed,item_position,user_action_type,campiaign_page_position
2024-04-15T00:54:52Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4193160020,Book Information Page Invoked,19,hold,1
2025-05-20T11:53:34Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4434540025,asin_horizontal_scroll_1_4,Selected Campaign Header,BackwardHorizontalScroll,1
2024-03-30T06:25:04Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4193160020,Book Selected,Selected Campaign Header,tap,1
2024-04-06T02:18:10Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4193160020,Book Selected,Action Performed in Third Book of the Campaign,tap,2
2024-04-20T22:18:56Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4193160020,asin_horizontal_scroll_3_7,Selected Campaign Header,ForwardHorizontalScroll,1
2023-12-01T12:17:12Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4212850015,Book Selected,Action Performed in Third Book of the Campaign,tap,1
2024-07-17T15:41:24Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4212850015,Tap on Card Title,Selected Campaign Header,tap,1
2024-03-30T00:51:01Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4193160020,Book Selected,Selected Campaign Header,tap,1
2024-04-08T22:50:22Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4193160020,Book Selected,Action Performed in First Book of the Campaign,tap,1
2024-04-10T01:42:58Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4193160020,Book Selected,Selected Campaign Header,tap,1
2024-04-20T21:55:41Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4193160020,asin_horizontal_scroll_15_19,Selected Campaign Header,BackwardHorizontalScroll,1
2024-03-30T01:05:19Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4193160020,asin_horizontal_scroll_3_7,Selected Campaign Header,ForwardHorizontalScroll,1
2024-04-20T22:19:01Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4193160020,asin_horizontal_scroll_1_4,Selected Campaign Header,BackwardHorizontalScroll,1
2024-04-20T21:55:44Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4193160020,asin_horizontal_scroll_1_4,Selected Campaign Header,BackwardHorizontalScroll,1
2024-04-20T21:55:43Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4193160020,asin_horizontal_scroll_3_7,Selected Campaign Header,BackwardHorizontalScroll,1
