Send to Kindle Request Start Time,Channel,Delivery Status,Email Address,File Size (In Bytes),File Type,Preferred Amazon Marketplace,App Name,App Version,Operating System,Operating System Architecture,Document Delivery End Time
2024-04-03T03:55:05Z,Send to Kindle App,Success,Not Available,485257,epub,US,Send to Kindle for iOS,7.6,iOS,arm,2024-04-03T03:56:10Z
2024-04-02T11:07:31Z,Send to Kindle App,Success,Not Available,712112,epub,US,Send to Kindle for iOS,7.6,iOS,arm,2024-04-02T11:08:25Z
2024-04-02T11:07:00Z,Send to Kindle App,Success,Not Available,469340,epub,US,Send to Kindle for iOS,7.6,iOS,arm,2024-04-02T11:07:54Z
2024-04-02T11:06:09Z,Send to Kindle App,Success,Not Available,292384,epub,US,Send to Kindle for iOS,7.6,iOS,arm,2024-04-02T11:07:10Z
2024-04-02T11:03:41Z,Send to Kindle App,Success,Not Available,688132,epub,US,Send to Kindle for iOS,7.6,iOS,arm,2024-04-02T11:04:54Z
