created_timestamp,preferred_marketplace,country,device_family,ASIN,Action Name,Entry Point of Action
2024-03-16T02:41:21Z,US,,Kindle for iOS,Not Available,Session Ended,Inside Notebooks Web View
2024-03-16T02:41:18Z,US,,Kindle for iOS,Not Available,Session Started,Inside Notebooks Web View
2024-03-16T02:41:17Z,US,,Kindle for iOS,Not Available,Go To Notebooks,More Menu
