created_timestamp,preferred_marketplace,country,device_family,ASIN,metric_name,SelectedValue,activePageName,VoiceViewStatus,ToPageName
2024-04-04T06:56:10Z,US,US,Kindle E-reader,B0BJJTTM8K,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2024-04-06T22:22:04Z,US,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Library,VoiceView turned off,
2024-04-07T02:15:02Z,US,US,Kindle E-reader,B00O6V45E6,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2024-03-31T03:26:35Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2024-04-06T20:27:48Z,US,US,Kindle E-reader,B00H57X864,Set Brightness Level,8,In-book,VoiceView turned off,
2024-04-06T22:47:59Z,US,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Home,VoiceView turned off,
2024-03-30T02:05:52Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Set Brightness Level,7,In-book,VoiceView turned off,
2024-04-09T04:05:53Z,US,US,Kindle E-reader,B00QE1DLIC,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2024-03-30T01:08:49Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Auto brightness,On,In-book,VoiceView turned off,
2024-04-05T01:27:02Z,US,US,Kindle E-reader,B008WOTQGU,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2024-03-30T02:05:52Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2024-04-09T00:08:14Z,US,US,Kindle E-reader,B00QE1DLIC,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2024-04-02T10:17:21Z,US,US,Kindle E-reader,B0BHLBHG79,Set Brightness Level,6,In-book,VoiceView turned off,
2024-03-30T01:44:07Z,US,US,Kindle E-reader,Not Available,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2024-03-31T14:28:04Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2024-04-06T02:52:21Z,US,US,Kindle E-reader,B00BKK6E04,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2024-04-06T00:52:07Z,US,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Home,VoiceView turned off,
2024-04-04T06:16:10Z,US,US,Kindle E-reader,B0BJJTTM8K,Data sync,Clicked,In-book,VoiceView turned off,
2024-03-31T03:23:17Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Closed Quick Actions,Tapped outside window,In-book,VoiceView turned off,
2024-04-04T06:56:12Z,US,US,Kindle E-reader,B0BJJTTM8K,Closed Quick Actions,Tapped outside window,In-book,VoiceView turned off,
2024-03-29T02:57:59Z,US,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped outside window,Home,VoiceView turned off,
2024-04-13T13:15:14Z,US,US,Kindle E-reader,Not Available,Data sync,Clicked,Home,VoiceView turned off,
2024-04-05T09:26:02Z,US,US,Kindle E-reader,B008WOTQGU,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2024-03-31T12:47:31Z,US,US,Kindle E-reader,Not Available,Opened Quick Actions,Swiped down,Home,VoiceView turned off,
2024-03-31T01:05:17Z,US,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Library,VoiceView turned off,
2024-04-05T09:25:59Z,US,US,Kindle E-reader,B008WOTQGU,Opened Quick Actions,Tapped Quick Actions drop-down button,In-book,VoiceView turned off,
2024-04-06T10:07:26Z,US,US,Kindle E-reader,B00BKK6E04,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2024-03-31T01:04:39Z,US,US,Kindle E-reader,Not Available,Data sync,Clicked,Library,VoiceView turned off,
2024-04-06T00:52:04Z,US,US,Kindle E-reader,Not Available,Data sync,Clicked,Home,VoiceView turned off,
2024-04-06T02:18:10Z,US,US,Kindle E-reader,Not Available,Set Brightness Level,5,Home,VoiceView turned off,
2024-04-11T03:24:49Z,US,US,Kindle E-reader,B01L7Q54NI,Opened Quick Actions,Tapped Quick Actions drop-down button,In-book,VoiceView turned off,
2024-03-29T02:47:00Z,US,US,Kindle E-reader,Not Available,Opened Quick Actions,Swiped down,Goodreads,VoiceView turned off,
2024-04-08T02:11:26Z,US,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Library,VoiceView turned off,
2024-03-30T00:54:33Z,US,US,Kindle E-reader,B0CYWDS6CT,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2024-04-07T17:52:36Z,US,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Home,VoiceView turned off,
2024-04-07T17:52:32Z,US,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Home,VoiceView turned off,
2024-04-07T02:38:08Z,US,US,Kindle E-reader,Not Available,Data sync,Clicked,Home,VoiceView turned off,
2024-03-31T12:47:09Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Data sync,Clicked,In-book,VoiceView turned off,
2024-03-31T12:47:32Z,US,US,Kindle E-reader,Not Available,Data sync,Clicked,Home,VoiceView turned off,
2024-03-30T01:19:05Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Set Brightness Level,9,In-book,VoiceView turned off,
2024-04-15T20:07:33Z,US,US,Kindle E-reader,Not Available,Data sync,Clicked,Home,VoiceView turned off,
2024-04-15T00:45:52Z,US,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Home,VoiceView turned off,
2024-04-05T01:26:57Z,US,US,Kindle E-reader,B008WOTQGU,Data sync,Clicked,In-book,VoiceView turned off,
2024-04-06T16:21:14Z,US,US,Kindle E-reader,B00BKK6E04,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2024-04-11T00:53:53Z,US,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped outside window,Home,VoiceView turned off,
2024-04-06T22:00:38Z,US,US,Kindle E-reader,B00H57X864,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2024-03-30T01:23:54Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Closed Quick Actions,Tapped outside window,In-book,VoiceView turned off,
2024-03-29T02:57:59Z,US,US,Kindle E-reader,Not Available,Set Warmth Level,24,Home,VoiceView turned off,
2024-04-02T01:27:20Z,US,US,Kindle E-reader,Not Available,Data sync,Clicked,Home,VoiceView turned off,
2024-04-04T03:11:40Z,US,US,Kindle E-reader,Not Available,Data sync,Clicked,Home,VoiceView turned off,
2024-03-31T00:26:56Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Closed Quick Actions,Tapped outside window,In-book,VoiceView turned off,
2024-04-10T01:42:43Z,US,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Home,VoiceView turned off,
2024-04-11T00:53:52Z,US,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Home,VoiceView turned off,
2024-04-15T00:45:54Z,US,US,Kindle E-reader,Not Available,Data sync,Clicked,Home,VoiceView turned off,
2024-04-06T20:21:46Z,US,US,Kindle E-reader,Not Available,Data sync,Clicked,Home,VoiceView turned off,
2024-04-08T01:38:20Z,US,US,Kindle E-reader,B00N6PD7L0,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2024-04-06T17:09:30Z,US,US,Kindle E-reader,B00FO60CH6,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2024-04-07T02:38:12Z,US,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Home,VoiceView turned off,
2024-04-09T00:08:10Z,US,US,Kindle E-reader,B00QE1DLIC,Data sync,Clicked,In-book,VoiceView turned off,
2024-03-31T03:22:18Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Set Brightness Level,6,In-book,VoiceView turned off,
2024-04-07T03:08:10Z,US,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Home,VoiceView turned off,
2024-03-31T03:38:54Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2024-03-29T02:47:18Z,US,US,Kindle E-reader,Not Available,Set Brightness Level,0,Settings,VoiceView turned off,
2024-04-15T20:07:31Z,US,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Home,VoiceView turned off,
2024-04-06T17:09:30Z,US,US,Kindle E-reader,B00FO60CH6,Opened Quick Actions,Tapped Quick Actions drop-down button,In-book,VoiceView turned off,
2024-04-11T00:54:34Z,US,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Home,VoiceView turned off,
2024-03-31T13:58:37Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Set Brightness Level,11,In-book,VoiceView turned off,
2024-04-06T22:48:05Z,US,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Home,VoiceView turned off,
2024-03-31T03:26:43Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2024-03-30T01:45:22Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Closed Quick Actions,Tapped outside window,In-book,VoiceView turned off,
2024-04-07T02:15:06Z,US,US,Kindle E-reader,B00O6V45E6,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2024-03-30T05:39:47Z,US,US,Kindle E-reader,B09DTJF1WD,Closed Quick Actions,Tapped outside window,In-book,VoiceView turned off,
2024-04-08T01:38:23Z,US,US,Kindle E-reader,B00N6PD7L0,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2024-03-30T01:44:24Z,US,US,Kindle E-reader,B07ZFZZ2GQ,All Settings,Clicked,In-book,VoiceView turned off,Settings
2024-03-30T01:19:34Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2024-04-06T16:21:11Z,US,US,Kindle E-reader,B00BKK6E04,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2024-04-04T06:16:15Z,US,US,Kindle E-reader,B0BJJTTM8K,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2024-03-31T00:26:50Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2024-04-11T03:19:54Z,US,US,Kindle E-reader,B01L7Q54NI,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2024-04-10T01:42:40Z,US,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Home,VoiceView turned off,
2024-03-31T12:47:19Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2024-03-30T01:18:18Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2024-03-30T01:08:46Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2024-04-06T20:21:40Z,US,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Home,VoiceView turned off,
2024-04-06T10:07:22Z,US,US,Kindle E-reader,B00BKK6E04,Opened Quick Actions,Tapped Quick Actions drop-down button,In-book,VoiceView turned off,
2024-03-30T01:19:05Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Set Warmth Level,24,In-book,VoiceView turned off,
2024-04-06T02:52:15Z,US,US,Kindle E-reader,B00BKK6E04,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2024-03-30T01:43:29Z,US,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped outside window,In-book,VoiceView turned off,
2024-04-07T03:08:07Z,US,US,Kindle E-reader,Not Available,Data sync,Clicked,Home,VoiceView turned off,
2024-04-02T01:27:41Z,US,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Home,VoiceView turned off,
2024-03-31T01:04:37Z,US,US,Kindle E-reader,Not Available,Opened Quick Actions,Swiped down,Library,VoiceView turned off,
2024-03-31T01:04:48Z,US,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped outside window,Library,VoiceView turned off,
2024-03-30T00:54:20Z,US,US,Kindle E-reader,B0CYWDS6CT,Closed Quick Actions,Swiped up,In-book,VoiceView turned off,
2024-03-31T01:05:13Z,US,US,Kindle E-reader,Not Available,Data sync,Clicked,Library,VoiceView turned off,
2024-04-09T04:05:56Z,US,US,Kindle E-reader,B00QE1DLIC,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2024-03-31T03:23:12Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2024-04-06T00:52:02Z,US,US,Kindle E-reader,Not Available,Opened Quick Actions,Swiped down,Home,VoiceView turned off,
2024-03-31T01:05:12Z,US,US,Kindle E-reader,Not Available,Opened Quick Actions,Swiped down,Library,VoiceView turned off,
2024-03-31T03:23:17Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Set Brightness Level,3,In-book,VoiceView turned off,
2024-04-11T00:53:49Z,US,US,Kindle E-reader,Not Available,Data sync,Clicked,Home,VoiceView turned off,
2024-04-07T03:08:05Z,US,US,Kindle E-reader,Not Available,Opened Quick Actions,Swiped down,Home,VoiceView turned off,
