country,created_timestamp,preferred_marketplace,device_family,ASIN,customer_action,desired_page_location
US,2024-04-23T03:42:39Z,www.amazon.com,Kindle E-reader,B083GY7J9P,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2024-04-20T21:21:16Z,www.amazon.com,Kindle E-reader,Not Available,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2024-04-04T03:14:29Z,www.amazon.com,Kindle E-reader,B0BJJTTM8K,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2024-04-04T06:16:17Z,www.amazon.com,Kindle E-reader,B0BJJTTM8K,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2024-04-21T23:04:28Z,www.amazon.com,Kindle E-reader,Not Available,Tap Top of Screen to Display the Reading Navigation Toolbar Inside Book,Last Page Read
US,2024-04-04T06:16:22Z,www.amazon.com,Kindle E-reader,B0BJJTTM8K,Tap Top of Screen to Display the Reading Navigation Toolbar Inside Book,Most Recent Page Read
US,2024-04-15T23:48:33Z,www.amazon.com,Kindle E-reader,B07G5FTPGY,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2024-04-04T06:16:17Z,www.amazon.com,Kindle E-reader,B0BJJTTM8K,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2024-04-02T01:27:50Z,www.amazon.com,Kindle E-reader,Not Available,Current Last Page Read Not Present,Not Available
US,2024-04-21T23:04:28Z,www.amazon.com,Kindle E-reader,Not Available,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2024-04-06T20:21:05Z,www.amazon.com,Kindle E-reader,B00FO60CH6,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2024-04-23T03:42:39Z,www.amazon.com,Kindle E-reader,B083GY7J9P,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2024-04-20T15:08:22Z,www.amazon.com,Kindle E-reader,B09HJDSQ5P,Tap on Most Recent Page Read Title,Last Page Read
US,2024-04-20T15:08:17Z,www.amazon.com,Kindle E-reader,B09HJDSQ5P,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2024-03-31T00:24:13Z,www.amazon.com,Kindle E-reader,Not Available,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2024-04-04T23:38:18Z,www.amazon.com,Kindle E-reader,B0BJJTTM8K,Tap on Most Recent Page Read Title,Last Page Read
US,2024-04-04T03:14:29Z,www.amazon.com,Kindle E-reader,B0BJJTTM8K,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2024-04-04T06:16:18Z,www.amazon.com,Kindle E-reader,B0BJJTTM8K,Tap on Most Recent Page Read Title,Last Page Read
US,2024-04-05T01:27:04Z,www.amazon.com,Kindle E-reader,B008WOTQGU,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
