Created Time,Preferred Marketplace,Country,Device Family,ASIN,Search Query,Search ID,Spell Corrected Keyword,Search Suggestions,Search Keyword Before Suggestion,Search Suggestion Selected Position,Refinements,Search Session ID,Is Device Offline,Search Entry Location,Personal Information Type Detected,Refinements Before Search
2024-02-29T01:03:07Z,US,Not Available,Kindle for iOS,Not Available,meghan quinn,D066507D-0BF5-45E5-B002-00376FD01493,Not Applicable,meghan quinn|meghan quinn kindle books|meghan march|meghan quinn vancouver agitators series|meghan quinn almond bay series|meghan quinn books,megh,1,||,C99F2CF7-105F-406F-99F3-DCF0BED2C227,No,Home,No Data,"store, library||SortByRelevance"
2024-03-22T02:40:45Z,US,Not Available,Kindle for iOS,Not Available,hacker series,A70D4867-DF95-49CA-9D46-72631FB2DB91,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,||,B89A0714-12AC-40C0-930F-AF48D7156B04,No,Home,No Data,"store, library||SortByRelevance"
2024-04-09T23:34:27Z,US,Not Available,Kindle for iOS,Not Available,steal my heart,D2E0AD88-1FE4-4408-ACF9-58E63484BAD7,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,||,16E7F110-3BFB-4C76-A761-ABBCCEA233B3,No,Home,No Data,"store, library||SortByRelevance"
2024-03-02T14:57:41Z,US,Not Available,Kindle for iOS,Not Available,twisted lies,60E4EFA2-9611-483B-9A78-0D68B02D4FDE,Not Applicable,twisted lies|twisted lies anna huang|twisted lies ana huang|twisted lies roxy collins|twisted lies audiobook|twisted lies series,Not Applicable,Not Selected,||,B24C0BEF-B278-471C-9973-E2E4D6F0398C,No,Home,No Data,"store, library||SortByRelevance"
2024-03-18T03:13:08Z,US,Not Available,Kindle for iOS,Not Available,wolf hotel,6AFEDDD5-6F74-4CCD-A183-68EBAFB94493,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,||,C91DAEC3-492D-4EF7-A3E9-744A23761457,No,Home,No Data,"store, library||SortByRelevance"
2024-04-13T12:40:29Z,US,Not Available,Kindle for iOS,Not Available,lost with me,FF9A785F-A2D4-4163-B699-44DFCF911E75,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,||,41358C2F-8B7E-4D62-948D-018113EE7A74,No,Home,No Data,"store, library||SortByRelevance"
2024-03-18T03:12:32Z,US,Not Available,Kindle for iOS,Not Available,crossfire,FEB00C80-39ED-49A9-BD5A-7A6677C5DD2F,Not Applicable,crossfire series sylvia day kindle|crossfire|crossfire book 4|crossfire series|crossfire book series|crossfire lynette eason,Not Applicable,Not Selected,||,EB3EC288-44D6-463D-ACFD-F4A0E8AAE57E,No,Home,No Data,"store, library||SortByRelevance"
2024-04-14T20:08:54Z,US,Not Available,Kindle for iOS,Not Available,lost with me,C34805A4-CD55-41E2-BB5F-B290B3F32888,Not Applicable,lost with me|lost with me the stark saga book 5,Not Applicable,Not Selected,||,ED32617B-4C0A-4310-9012-C0652FF64461,No,Home,No Data,"store, library||SortByRelevance"
2024-02-26T00:02:38Z,US,Not Available,Kindle for iOS,Not Available,,FC25841C-95D6-4910-97DE-CC2F341F50C3,Not Applicable,beautiful bastards book 1|beautiful bastards series,Not Applicable,Not Selected,"store, library||",49783150-F60F-430F-B7F7-98715FD9EBDC,No,Home,No Data,||SortByRelevance
2024-03-27T02:36:41Z,US,Not Available,Kindle for iOS,Not Available,in death,A22FDE96-CC1F-498C-B419-7A132C960424,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,||,2032436F-8BA6-40E6-8C30-497863232B7C,No,Home,No Data,"store, library||SortByRelevance"
2024-03-08T18:47:38Z,US,Not Available,Kindle for iOS,Not Available,mine serial killer,8C0269F2-B12C-44C5-BA39-5248A4929E21,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,||,C96E4CDC-E0C9-47AC-B7E2-0257831FCAD5,No,Home,No Data,"store, library||SortByRelevance"
2024-03-23T02:34:52Z,US,Not Available,Kindle for iOS,Not Available,american queen,4CE123F5-F7C8-4BAB-B567-770A1072CEC8,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,||,1B13AE8F-A027-4852-B31C-2A599A20BBA2,No,Home,No Data,"store, library||SortByRelevance"
2024-03-08T18:36:22Z,US,Not Available,,Not Available,someone exactly like me,E1A3E8C9-D140-4A34-8344-76861CA90E4E,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,SortByRelevance,18E352B4-753A-4157-8371-8B5483DE0095,No,Library,No Data,No refinements
2024-03-04T00:15:09Z,US,Not Available,Kindle for iOS,Not Available,come as you are,EB309CB5-CA58-4B6C-982C-71D74EFA15C2,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,||,045532BB-11F1-429D-A210-2DEBF33085E5,No,Library,No Data,"store, library||SortByRelevance"
2024-04-14T23:55:12Z,US,Not Available,Kindle for iOS,Not Available,,2E505B22-15F4-457B-AE43-6FF399D1333F,Not Applicable,bromance book club|bromance book club series,Not Applicable,Not Selected,||,ED32617B-4C0A-4310-9012-C0652FF64461,No,Home,No Data,"store, library||SortByRelevance"
2024-03-28T02:33:09Z,US,Not Available,Kindle for iOS,Not Available,,C39AF031-3303-412F-9A06-04A69442519A,Not Applicable,katee roberts books|katee roberts|katee roberts wicked villains series|katee roberts books dark olympus series|katee roberts theirs for the night|katee roberts deal with a demon,Not Applicable,Not Selected,||,2032436F-8BA6-40E6-8C30-497863232B7C,No,Home,No Data,"store, library||SortByRelevance"
2024-02-26T00:01:45Z,US,Not Available,Kindle for iOS,Not Available,emily henrybeautiful bastard,923E324C-C78D-4CAA-80D7-5DB6A5C23E10,emily henry beautiful bastard,No Search Suggestions,Not Applicable,Not Selected,"store, library||",49783150-F60F-430F-B7F7-98715FD9EBDC,No,Home,No Data,||SortByRelevance
2024-03-04T00:15:05Z,US,Not Available,Kindle for iOS,Not Available,,EB309CB5-CA58-4B6C-982C-71D74EFA15C2,Not Applicable,"come as you are by emily nagoski, ph.d|come as you are jess hardy|come as you are revised and updated|come as you are lauren blakely|come as you are by emily nagoski, ph.d kindle|come as you are - cedar fort inc",Not Applicable,Not Selected,||,045532BB-11F1-429D-A210-2DEBF33085E5,No,Library,No Data,"store, library||SortByRelevance"
2024-03-04T09:32:34Z,US,Not Available,Kindle for iOS,Not Available,,6AE7ECA2-8E8A-4745-8D66-2084D59946F6,Not Applicable,cane brothers megan quinn|cane brothers|cane brothers series megan quinn|cane brothers meghan quinn|cane brothers series,Not Applicable,Not Selected,||,045532BB-11F1-429D-A210-2DEBF33085E5,No,Home,No Data,"store, library||SortByRelevance"
2024-03-16T01:31:47Z,US,Not Available,Kindle for iOS,Not Available,tempt me,18F53304-400B-42F2-B406-AD052FB2BA79,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,SortByRelevance,9DAD4520-3A97-4B73-9BA7-B18352DF4C83,No,Home,No Data,No refinements
2024-03-04T09:52:24Z,US,Not Available,Kindle for iOS,Not Available,long way down,6AE7ECA2-8E8A-4745-8D66-2084D59946F6,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,||,045532BB-11F1-429D-A210-2DEBF33085E5,No,Home,No Data,"store, library||SortByRelevance"
2024-02-26T00:12:23Z,US,Not Available,Kindle for iOS,Not Available,beautiful bastard,6C98BAA2-869D-4518-B581-0F48A1B4FDCC,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,"store, library|KindleUnlimited|",9175B57E-B509-49E5-9AD7-0BBF3ED63535,No,Home,No Data,||SortByRelevance
2024-03-11T03:10:36Z,US,Not Available,Kindle for iOS,Not Available,electric idol,18F200DF-E7B2-44EC-915D-9847E4DEF758,Not Applicable,electric idol|electric idol katee robert|electric idol dark olympus book 2,Not Applicable,Not Selected,||,8289F51C-582B-4669-B28F-CCC13DF50D6A,No,Library,No Data,"store, library||SortByRelevance"
