Created Time,Preferred Marketplace,Country,Device Family,ASIN,Search Query,Search ID,Spell Corrected Keyword,Search Suggestions,Search Keyword Before Suggestion,Search Suggestion Selected Position,Refinements,Search Session ID,Is Device Offline,Search Entry Location,Personal Information Type Detected,Refinements Before Search
2024-02-25T23:58:36Z,US,Not Available,Kindle for iOS,Not Available,dating you hating you by christina lauren,89226270-1245-4A68-9990-8C557316BD10,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,"store, library|KindleUnlimited|",E7B22249-061D-43B7-9F98-A2805C2D3AEB,No,Home,No Data,||SortByRelevance
2024-03-03T07:00:08Z,US,Not Available,Kindle for iOS,Not Available,happily ever after playlist,13E34A33-1AEC-4C39-9FC9-FD46603E488B,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,||,B24C0BEF-B278-471C-9973-E2E4D6F0398C,No,Home,No Data,"store, library||SortByRelevance"
2024-02-24T18:59:25Z,US,Not Available,Kindle for iOS,Not Available,kate canterbary,9C45D2D1-89D2-4464-BD02-2326802AF2CF,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,"store, library|KindleUnlimited|",0B113558-568D-46B5-B87C-54853D8F4D2C,No,Home,No Data,||SortByRelevance
2024-02-25T23:58:26Z,US,Not Available,Kindle for iOS,Not Available,dating you hating you by christina lauren,89226270-1245-4A68-9990-8C557316BD10,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,"store, library|KindleUnlimited|",E7B22249-061D-43B7-9F98-A2805C2D3AEB,No,Home,No Data,||SortByRelevance
2024-02-29T02:30:50Z,US,Not Available,Kindle for iOS,Not Available,,5CB31E5E-D6A1-48D6-B00A-59D330100337,Not Applicable,ana huang|ana huang twisted series|anatomy a love story|anatomy|anastasia wilde|anastasia,ana,1,||,C99F2CF7-105F-406F-99F3-DCF0BED2C227,No,Home,No Data,"store, library||SortByRelevance"
2024-03-07T05:09:43Z,US,Not Available,Kindle for iOS,Not Available,credence,7267F85B-0DDE-4D6A-88AF-B2348FE8ADF5,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,||,F5DBAAEB-0A21-44BA-8D1E-271A93EAC323,No,Home,No Data,"store, library||SortByRelevance"
2024-03-08T17:11:28Z,US,Not Available,Kindle for iOS,Not Available,,CD97AB5E-9941-4993-929F-E68FE80C9BEC,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,||,2548C7E1-610B-4DF7-BC35-0C55B6537288,No,Home,No Data,"store, library||SortByRelevance"
2024-03-28T02:38:09Z,US,Not Available,Kindle for iOS,Not Available,kyra parsi,F92520E3-55E9-48A7-8DFC-5D250F4015B8,Not Applicable,kyra parsi|kyra irene|kyra alessy|kyra keys|kyrie wang|kyra lang,kyr,1,"store, library||",F2426F09-36FA-492E-A69C-851EA5BD77B0,No,Home,No Data,||SortByRelevance
2024-03-23T02:38:00Z,US,Not Available,Kindle for iOS,Not Available,fix her up tessa bailey,9614B555-009E-449E-9FA9-6EDE71AFFD2C,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,||,1B13AE8F-A027-4852-B31C-2A599A20BBA2,No,Home,No Data,"store, library||SortByRelevance"
2024-03-28T21:22:41Z,US,Not Available,Kindle for iOS,Not Available,dune,99D80940-B6C0-49DB-8451-55CF801F86BB,Not Applicable,dune|dune frank herbert|dune messiah|dune book series|dune messiah kindle|dune 2,Not Applicable,Not Selected,"store, library||",F2426F09-36FA-492E-A69C-851EA5BD77B0,No,Home,No Data,||SortByRelevance
2024-02-25T23:59:33Z,US,Not Available,Kindle for iOS,Not Available,book lovers,89226270-1245-4A68-9990-8C557316BD10,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,"store, library||",E7B22249-061D-43B7-9F98-A2805C2D3AEB,No,Home,No Data,||SortByRelevance
2024-02-27T12:16:19Z,US,Not Available,Kindle for iOS,Not Available,meghan quinn,0E87B9CC-236B-4A76-9838-50907988EAAA,Not Applicable,meghan quinn|meghan quinn kindle books|meghan march|meghan quinn vancouver agitators series|meghan brandy|meghan,meghan,1,||,5E039546-9BAC-4FBF-B114-A91BA4DFBA51,No,Home,No Data,"store, library||SortByRelevance"
2024-03-28T02:34:06Z,US,Not Available,Kindle for iOS,Not Available,katee robert,90185447-8969-41B4-B92E-D1118A0C3F3A,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,"store, library|KindleUnlimited|",808B5A1C-ACFA-4CA9-8ECE-129AEEFD7C7F,No,Home,No Data,||SortByRelevance
2024-03-04T09:32:44Z,US,Not Available,Kindle for iOS,Not Available,cane brothers,6AE7ECA2-8E8A-4745-8D66-2084D59946F6,Not Applicable,meghan quinn|megan quinn books|meghan quinn kindle books|megan wade|megan miranda|meghan march,meg,1,||,045532BB-11F1-429D-A210-2DEBF33085E5,No,Home,No Data,"store, library||SortByRelevance"
2024-03-18T03:13:04Z,US,Not Available,Kindle for iOS,Not Available,k.a. tucker,12638915-12AD-40C4-9A48-CA59D92D5959,Not Applicable,wolf hotel series|wolf hotel|wolf hotel series ka tucker|wolf hotel 5|wolf hotel 4|wolf hotel 3,Not Applicable,Not Selected,||,C91DAEC3-492D-4EF7-A3E9-744A23761457,No,Home,No Data,"store, library||SortByRelevance"
2024-02-25T23:58:24Z,US,Not Available,Kindle for iOS,Not Available,dating you hating you by christina lauren,89226270-1245-4A68-9990-8C557316BD10,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,"store, library|PrimeReading|",E7B22249-061D-43B7-9F98-A2805C2D3AEB,No,Home,No Data,||SortByRelevance
2024-04-13T12:40:09Z,US,Not Available,Kindle for iOS,Not Available,please me,26A6B942-7EF2-4293-956F-274BC084C552,Not Applicable,please me daddies collection|please me|please me j kenner|pretty please me,Not Applicable,Not Selected,||,5DED3AB6-6983-4F0F-88A2-B5BD5AC99D07,No,Home,No Data,"store, library||SortByRelevance"
2024-03-07T22:12:51Z,US,Not Available,Kindle for iOS,Not Available,credence,6BA99D41-99A7-44EE-B0EF-A31368D9356A,Not Applicable,credence|credence penelope douglas|credence book|credence audio book|credence spanish|credence español,Not Applicable,Not Selected,||,F4A38F69-12C1-4C51-9D3F-109037BC59DB,No,Home,No Data,"store, library||SortByRelevance"
2024-03-04T00:06:19Z,US,Not Available,Kindle for iOS,Not Available,salacious players club,5BF491EB-5E88-4D69-AAA2-49DC43AFDD6B,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,||,045532BB-11F1-429D-A210-2DEBF33085E5,No,Library,No Data,"store, library||SortByRelevance"
2024-03-08T17:11:30Z,US,Not Available,Kindle for iOS,Not Available,the hating game,CD97AB5E-9941-4993-929F-E68FE80C9BEC,Not Applicable,the hating game|the hating game sally thorne|the hating game a novel|the hating game sally|the hating game book sally thorne kindle,Not Applicable,Not Selected,||,2548C7E1-610B-4DF7-BC35-0C55B6537288,No,Home,No Data,"store, library||SortByRelevance"
2024-04-06T13:31:24Z,US,Not Available,Kindle for iOS,Not Available,raven #1,855CD24F-C472-458F-8165-C740D2E727A7,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,"store, library|KindleUnlimited|",9BC664DF-6042-4D7B-BE23-190A322B251E,No,Home,No Data,||SortByRelevance
2024-03-03T07:00:53Z,US,Not Available,Kindle for iOS,Not Available,only when its us,13E34A33-1AEC-4C39-9FC9-FD46603E488B,only when it's us,No Search Suggestions,Not Applicable,Not Selected,||,B24C0BEF-B278-471C-9973-E2E4D6F0398C,No,Home,No Data,"store, library||SortByRelevance"
