"Product Name","ASIN","Author ID"
"The Secret Fiancée: Lexington and Raya's Story (The Windsors)","B0CJDPTB3V","B089B5CTHW"
"The Unwanted Marriage: Dion and Faye's Story (The Windsors)","B0BT9W3ZS2","B089B5CTHW"
"The Temporary Wife: Luca and Valentina's Story (The Windsors)","B0BHN8JB7C","B089B5CTHW"
"The Wrong Bride: Ares and Raven's Story (The Windsors)","B0B9TBGC5X","B089B5CTHW"
"Restitution (The Edge of Darkness: Book 3) (The Edge of Darkness Trilogy)","B0CPKCH1V8","B0C9MXQ7Z7"
"Voracious (The Edge of Darkness: Book 2) (The Edge of Darkness Trilogy)","B0CMJRJPC7","B0C9MXQ7Z7"
"An American in London","B0DPNCMFZ9","B00JKSGM5A"
"The Other Brother (London Hearts Book 1)","B0F45JL25S","B0DS1RP7KQ"
"Insatiable (The Edge of Darkness: Book 1) (The Edge of Darkness Trilogy)","B0C9MXW2JL","B0C9MXQ7Z7"
"Slap Shot (D.C. Stars Book 3)","B0D67VHK43","B0B27CWPKK"
"Hat Trick (D.C. Stars Book 4)","B0DY891B7R","B0B27CWPKK"
"Hockey Boy : Boston Bolts Hockey","B0CW6HCYCX","B09BW1XF36"
"Power Play: A Grumpy Sunshine Marriage of Convenience Romance (D.C. Stars Book 2)","B0CQ371ZTP","B0B27CWPKK"
"All Superheroes Need PR: Supers in the City","B0DPNJS9RY","B010M3BUY4"
"Gloves Off: a marriage of convenience hockey romance (Vancouver Storm Book 4)","B0DKG9MS7S","B09MDRSLJ9"
"Face Off: A Spicy Rivals to Lovers Hockey Romance (D.C. Stars Book 1)","B0CS17PXNR","B0B27CWPKK"
"All Superheroes Need PR (Supers in the City)","B0DJTBBNQX","B010M3BUY4"
"The Seven Year Slip","B0BGMZ9ZL2","B00H7KAML8"
"Wildfire: A Novel (The Maple Hills Series)","B0BV1C2PJ8","B0B6CRSKWX"
"Tomorrow, and Tomorrow, and Tomorrow: A novel","B09JBCGQB8","B001IGJWR2"
"Between Love and Loathing: A Fake Dating Romance (Hardy Billionaires)","B0BYWZ58YL","B0847SL3L6"
"Till Summer Do Us Part","B0DWVCNRFT","B00G2PREA6"
"Trust Me Always: A Fake Dating Romance","B0DJPX4312","B075CYBFVX"
"Severed Heart: The Birth of a Warrior: The Ravenhood Legacy, Book 2","B0F1Q7G6DK","B00GCWS5UM"
"Severed Heart (Ravenhood Legacy Book 2)","B0D5YMWD9Y","B00GCWS5UM"
"fast","B08BXTRZZS","B0743CXT5W"
"It's a Love Story","B0DFGDFM4V","B001JS6VY6"
"Icebreaker: A Novel (Maple Hills)","B0BL1L6XPD","B0B6CRSKWX"
"Remember Us This Way: A Contemporary Rockstar Romance (The Sounds of Us Book 1)","B07N1Y4SNJ","B07BH4H5YX"
"Remember Me This Way: A Contemporary Rockstar Romance (The Sounds of Us Book 3)","B07Z8CGG7R","B07BH4H5YX"
"Remember You This Way: A Contemporary Rockstar Romance (The Sounds of Us Book 2)","B07N6PJWQF","B07BH4H5YX"
"Not Another Love Song","B0CMQ8X4LN","B0C865D2NN"
"Daydream: A Novel (The Maple Hills Series)","B0CL5FT1GZ","B0B6CRSKWX"
"Between Commitment and Betrayal: An Arranged Marriage Romance (Hardy Billionaires)","B0BK79W1FZ","B0847SL3L6"
"Done and Dusted: A Rebel Blue Ranch Novel","B0CHBML59T","B0BWKCKT2N"
"Caught Up: Into Darkness, Book 2","B0DJRHNY1F","B07Z6QLP1P"
"Caught Up: An Into Darkness Novel (An into Darkness Novel (Into Darkness Series) Book 2)","B0DJPZ5CGC","B07Z6QLP1P"
"The Outsiders","B007ZUV4TO","B000AQ1R5G"
"Bright Side","B00LJKT64Q","B00J88LUC2"
"Mr. Heartbreaker (The Nest Book 1)","B0CRPVLGRC","B01ND0R15R"
"Magic Words","B0B3984S2Z","B00ABMREEM"
"A Love Letter to Whiskey","B09JT59YYX","B00JDJOINE"
"If He Had Been with Me","B00APIVOIE","B00B29Q3TA"
"The Kings of Kearny: A Steamy MC Romance","B08XLKH2Q2","B07Z6QLP1P"
"The Perfect Fit","B0C1LJS1XX","B08YK9GH9B"
"Duplicity: A Billionaire, Single Mom Romance (Seraph)","B0DQVGJ7ZK","B0BSNY8PB3"
"The Mixtape","B08LD2HT9F","B00EGE0UJM"
"The Story Of Us: Carnage Book One","B00IERA5RY","B00G87XO52"
"American Prince (New Camelot Book 2)","B01N9F5IOL","B00HFK1EJO"
"The Pumpkin Spice Café: Read the viral TikTok sensation romcom series, for fans of cozy and spicy romance in 2025! (Dream Harbor Book 1)","B0BTTJWYFN","B0CDXTJW39"
"Beautiful Disaster: A Novel","B008JMKN4Y","B005WL2MVC"
"The Bet (The Bet Series Book 1)","B00DB7RCD2","B0054TW5AA"
"One True Loves: A Novel","B0176M3XWQ","B00DX8B85M"
"Dark Restraint (Dark Olympus Book 7)","B0CLBQGRMQ","B0070EJJQA"
"All He'll Ever Be (Merciless World Series Book 1)","B07Y89DWCN","B01G9J9JKW"
"Destroy Me (Shatter Me Book 1)","B0076790LA","B005DISZ0Q"
"Restore Me (Shatter Me Book 4)","B0727NP66G","B005DISZ0Q"
"Take Me: A Stark Ever After Novella (Stark Trilogy)","B00FO60CH6","B001H6GHOO"
"Take Me: A Stark Ever After Novella (Stark Trilogy)","B00FO60CH6","B00TUBLRHA"
"The Love Hypothesis","B08T6XN4FP","B08ZYW66XW"
"Beach Read","B07XNKRV83","B01BW7AX4W"
"Ignite Me (Shatter Me Book 3)","B00DB2YN0C","B005DISZ0Q"
"Hardwired: The Hacker Series #1","B00V3MY1IQ","B00EY3RDPY"
"Hardpressed: The Hacker Series #2","B00V3MY1GS","B00EY3RDPY"
