created_timestamp,preferred_marketplace,country_of_residence,device_family,ASIN,audible_immersion_reading_context,audible_immersion_reading_action,book_reading_mode,narration_duration_in_seconds
2024-03-26T01:43:56Z,US,Not Available,Kindle for iOS,B07Y82JMF8,inbook_mini_player,narration,vertical_scroll_view,1130
2024-03-20T12:47:10Z,US,Not Available,Kindle for iOS,B00NEQRNVG,out_of_app,narration,not_applicable,2059
2024-03-20T23:01:09Z,US,Not Available,Kindle for iOS,B00NEQRNVG,out_of_app,narration,not_applicable,107
2024-03-21T22:08:39Z,US,Not Available,Kindle for iOS,B0183KJZE0,out_of_app,narration,not_applicable,2091
2024-03-21T22:08:26Z,US,Not Available,Kindle for iOS,B0183KJZE0,out_of_app,narration,not_applicable,2078
2024-03-21T22:17:45Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,401
2024-03-19T06:01:41Z,US,Not Available,Kindle for iOS,B008UCJ7KO,inbook_mini_player,narration,vertical_scroll_view,1087
2024-03-22T19:26:16Z,US,Not Available,,Not Available,inbook_mini_player,narration,vertical_scroll_view,201
2024-03-22T14:45:18Z,US,Not Available,,Not Available,out_of_app,narration,not_applicable,298
2024-03-19T21:13:08Z,US,Not Available,Kindle for iOS,B008UCJ7KO,out_of_app,narration,not_applicable,1554
2024-03-25T06:57:25Z,US,Not Available,Kindle for iOS,Not Available,out_of_app,narration,not_applicable,3512
2024-03-22T19:15:55Z,US,Not Available,,Not Available,inbook_mini_player,narration,vertical_scroll_view,0
2024-03-23T02:52:47Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,118
2024-03-20T12:55:24Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,274
2024-03-11T10:28:51Z,US,Not Available,Kindle for iOS,Not Available,out_of_app,narration,not_applicable,4604
2024-03-11T09:09:49Z,US,Not Available,Kindle for iOS,Not Available,out_of_app,narration,not_applicable,6870
2024-03-19T22:04:52Z,US,Not Available,Kindle for iOS,B008UCJ7KO,inbook_mini_player,narration,vertical_scroll_view,2
2024-03-23T00:18:14Z,US,Not Available,Kindle for iOS,B0CHWQPB49,inbook_mini_player,narration,vertical_scroll_view,559
2024-03-19T02:10:07Z,US,Not Available,Kindle for iOS,B008673ZAQ,inbook_mini_player,narration,vertical_scroll_view,215
2024-03-21T22:48:32Z,US,Not Available,Kindle for iOS,B0183KJZE0,out_of_app,narration,not_applicable,2247
2024-03-27T14:37:22Z,US,Not Available,Kindle for iOS,B09ZKRWCG4,inbook_mini_player,narration,vertical_scroll_view,1906
2024-03-19T11:00:14Z,US,Not Available,Kindle for iOS,B008UCJ7KO,inbook_mini_player,narration,vertical_scroll_view,2443
2024-03-22T14:45:11Z,US,Not Available,,Not Available,inbook_mini_player,narration,vertical_scroll_view,291
2024-03-19T21:08:36Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,1283
2024-03-27T02:27:45Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,496
2024-03-21T12:53:20Z,US,Not Available,Kindle for iOS,B0183KJZE0,inbook_mini_player,narration,vertical_scroll_view,232
2024-03-21T21:26:56Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,5
2024-03-26T01:36:26Z,US,Not Available,Kindle for iOS,B07Y82JMF8,out_of_app,narration,not_applicable,681
2024-03-25T17:24:17Z,US,Not Available,Kindle for iOS,B07Y82JMF8,inbook_mini_player,narration,vertical_scroll_view,862
2024-03-20T12:00:03Z,US,Not Available,Kindle for iOS,B00NEQRNVG,inbook_mini_player,narration,vertical_scroll_view,1796
2024-03-25T16:00:23Z,US,Not Available,Kindle for iOS,B07Y82JMF8,out_of_app,narration,not_applicable,721
2024-03-20T20:54:46Z,US,Not Available,Kindle for iOS,B00NEQRNVG,out_of_app,narration,not_applicable,41
2024-03-21T14:48:29Z,US,Not Available,Kindle for iOS,B0183KJZE0,out_of_app,narration,not_applicable,371
2024-03-21T12:50:10Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,42
2024-03-22T03:20:18Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,65
