device_record_time,Device Serial Number,device_type,country_of_residence,software_version,product_mode,metric_level,reason_code,Amazon Marketplace
2024-05-10T08:32:27Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-10T08:32:16Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-09T08:32:27Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-09T08:32:16Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-08T08:32:19Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-08T08:32:18Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-07T08:32:16Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-07T08:32:15Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-07T08:32:14Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-06T08:37:22Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-06T08:32:18Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-06T08:32:16Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-05T08:32:14Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-05T08:32:12Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-04T08:37:22Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-04T08:32:18Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-04T08:32:16Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-03T08:32:17Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-03T08:32:15Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-02T08:37:27Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-02T08:32:18Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-02T08:32:16Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-01T08:32:19Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-01T08:32:17Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-04-30T08:32:24Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-04-30T08:32:13Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-04-29T08:37:30Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-04-29T08:32:28Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-04-29T08:32:17Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-04-28T08:32:27Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-04-28T08:32:16Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-04-28T00:22:01Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-04-28T00:21:59Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-04-27T08:38:30Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-04-27T08:37:49Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-04-27T08:32:17Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-04-27T08:32:16Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-04-25T08:32:25Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-25T08:32:15Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-24T08:32:26Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-24T08:32:15Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-24T03:14:16Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-24T03:12:07Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-24T03:12:04Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-24T02:04:04Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-24T02:04:02Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-23T08:32:27Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-23T05:00:02Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-23T05:00:01Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-23T04:57:21Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-23T03:42:34Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-23T03:42:32Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-22T08:32:23Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-22T08:32:12Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-22T04:13:47Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-22T04:13:45Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-22T03:54:01Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-22T03:53:39Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-22T03:11:40Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-22T03:11:38Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-22T02:54:20Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-22T02:54:18Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-22T02:05:46Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-22T02:02:08Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-22T00:43:24Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-22T00:26:46Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-22T00:26:22Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-21T23:56:14Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-21T23:43:06Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-21T23:43:04Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-21T23:30:21Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-21T23:04:12Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-21T23:04:11Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-21T21:06:41Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-21T20:53:59Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-21T20:53:41Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-21T08:32:22Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-21T08:32:21Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-21T08:32:11Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-20T22:18:35Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-20T22:17:31Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-20T22:04:19Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-20T22:04:06Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-20T21:55:33Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-20T21:55:31Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-20T21:21:09Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-20T21:21:06Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-20T21:12:39Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-20T18:05:51Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-20T18:05:46Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-20T17:55:41Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-20T16:10:48Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-20T15:40:12Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-20T15:40:11Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-20T15:34:33Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-20T15:34:32Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-20T15:28:40Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-20T15:14:01Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-20T15:13:52Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-20T15:08:18Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-20T08:32:25Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-20T08:32:14Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-20T02:30:20Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-20T02:30:17Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-20T01:35:43Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-20T01:35:42Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-19T08:32:25Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-19T08:32:16Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-18T08:32:25Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-18T08:32:15Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-17T08:32:26Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-17T08:32:15Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-17T01:29:43Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-17T01:07:49Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-17T01:06:52Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-17T00:59:40Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-17T00:59:34Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-16T08:32:24Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
