title_deletion_date,collection_creation_date,title_added_date,is_title_deleted,is_collection_discoverable,last_modified_date,product_name,collection_name,collection_description,total_items_in_collection,is_public_collection,is_collection_archived,profile_name,content_delivery_type,ASIN,collection_type,marketplace,collection_id
"2025-02-07T21:31:02Z","Not Available","2025-02-07T21:21:00Z","Yes","Not Available","2025-02-07T21:31:02Z","Always a Bridesmaid","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0DTLPGW66","Not Available","Not Available","PENDING"
"Not Available","Not Available","2025-02-07T21:21:27Z","No","Not Available","2025-02-07T21:21:27Z","Misdirected","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0DPQ6JVX9","Not Available","Not Available","AYCL"
"Not Available","Not Available","2025-02-07T21:21:00Z","No","Not Available","2025-02-07T21:21:00Z","Always a Bridesmaid","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0DTLPGW66","Not Available","Not Available","AYCL"
"2025-02-02T20:28:35Z","Not Available","2025-02-02T20:18:42Z","Yes","Not Available","2025-02-02T20:28:35Z","House of Flame and Shadow","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B0CGSXFQYY","Not Available","Not Available","PENDING"
"2025-01-31T20:51:15Z","Not Available","2025-01-31T20:41:19Z","Yes","Not Available","2025-01-31T20:51:15Z","House of Sky and Breath","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B09MZPZ1WG","Not Available","Not Available","PENDING"
"2025-01-28T21:02:44Z","Not Available","2025-01-28T20:52:49Z","Yes","Not Available","2025-01-28T21:02:44Z","House of Earth and Blood","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B082YHZPTY","Not Available","Not Available","PENDING"
"2025-01-06T07:43:06Z","Not Available","2025-01-06T07:33:13Z","Yes","Not Available","2025-01-06T07:43:06Z","Kingdom of Ash","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B07J682QY2","Not Available","Not Available","PENDING"
"2025-01-03T19:52:53Z","Not Available","2025-01-03T19:42:52Z","Yes","Not Available","2025-01-03T19:52:53Z","Tower of Dawn","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B0759X8K2X","Not Available","Not Available","PENDING"
"2024-12-31T06:52:33Z","Not Available","2024-12-31T06:42:43Z","Yes","Not Available","2024-12-31T06:52:33Z","Empire of Storms","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B01KIQVHL6","Not Available","Not Available","PENDING"
"2024-12-29T20:08:06Z","Not Available","2024-12-29T19:58:11Z","Yes","Not Available","2024-12-29T20:08:06Z","Queen of Shadows","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B012BTUEVC","Not Available","Not Available","PENDING"
