created_timestamp,ASIN,customer_context,action,is_starred,device_family,country,preferred_marketplace
2024-03-21T02:11:28Z,B00NEQRNVG,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-04-01T02:56:20Z,B09Z7BYZS3,ReadingView,RemoveBookmark,No,Kindle for iOS,Not Available,US
2024-04-05T11:49:12Z,B008WOTQGU,ReadingView,RemoveBookmark,No,Kindle for iOS,Not Available,US
2024-03-02T02:57:35Z,B0994RZ2L1,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-03-09T01:41:47Z,B01D6TA9Y8,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-03-27T14:20:07Z,B09ZKRWCG4,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-02-26T06:50:25Z,B09HLCTYZ8,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-03-20T00:41:09Z,B008UCJ7KO,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-03-11T22:59:20Z,B09P5GT746,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-03-25T09:17:44Z,B00W22ITCU,ReadingView,RemoveBookmark,No,Kindle for iOS,Not Available,US
2024-03-02T05:07:48Z,B0994RZ2L1,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-03-27T14:20:36Z,B09ZKRWCG4,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-03-21T02:06:41Z,B00NEQRNVG,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2022-04-30T15:47:53Z,B07KWL5L8Y,ReadingViewAndMenu,AddBookmark,No,Kindle for iOS,Not Available,US
2024-03-02T02:57:39Z,B0994RZ2L1,ReadingView,RemoveBookmark,No,Kindle for iOS,Not Available,US
2024-03-21T02:23:54Z,B00NEQRNVG,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-03-21T02:23:57Z,B00NEQRNVG,ReadingView,RemoveBookmark,No,Kindle for iOS,Not Available,US
2024-03-25T09:17:39Z,B00W22ITCU,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-04-01T03:00:28Z,B09Z7BYZS3,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-03-21T03:07:05Z,B0183KJZE0,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-03-27T07:56:16Z,B08X472VK3,ReadingView,RemoveBookmark,No,Kindle for iOS,Not Available,US
2024-04-02T14:03:30Z,5BEA93B92BE3430FB2DF09D918F5365C,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-04-14T19:49:31Z,B0778CV9Y4,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-03-16T08:44:35Z,B017S3J3X6,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-03-05T11:46:38Z,B07QNKVR3N,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-03-13T21:19:07Z,B08266SRVP,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-04-01T02:55:22Z,B09Z7BYZS3,ReadingView,RemoveBookmark,No,Kindle for iOS,Not Available,US
2024-04-01T02:55:19Z,B09Z7BYZS3,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-03-27T16:23:10Z,B09ZKRWCG4,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-03-09T19:28:15Z,B07WJ2X243,ReadingView,RemoveBookmark,No,Kindle for iOS,Not Available,US
2024-03-05T23:47:19Z,B07C7N5CBS,ReadingView,RemoveBookmark,No,Kindle for iOS,Not Available,US
2024-03-15T13:51:56Z,B07XQK3SGQ,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-04-01T16:45:41Z,B09Z7BYZS3,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-03-26T12:54:20Z,B0BCZWC3QZ,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-02-26T06:56:25Z,B09HLCTYZ8,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-04-01T03:00:47Z,B09Z7BYZS3,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-03-28T01:57:46Z,B0BC16PP4Z,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-03-05T09:05:15Z,B07QNKVR3N,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-03-19T03:56:29Z,B008673ZAQ,ReadingViewAndMenu,RemoveBookmark,No,Kindle for iOS,Not Available,US
2024-03-18T20:54:02Z,B00846REIS,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-04-13T05:26:10Z,B01MSWC05T,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-02-24T17:47:15Z,B08K62VYDJ,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-02-26T06:56:27Z,B09HLCTYZ8,ReadingView,RemoveBookmark,No,Kindle for iOS,Not Available,US
2024-03-13T21:16:59Z,B08266SRVP,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-04-01T02:54:23Z,B09Z7BYZS3,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-03-20T00:26:06Z,B008UCJ7KO,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-03-21T07:01:36Z,B0183KJZE0,ReadingView,RemoveBookmark,No,Kindle for iOS,Not Available,US
2024-03-19T03:56:26Z,B008673ZAQ,ReadingViewAndMenu,AddBookmark,No,Kindle for iOS,Not Available,US
2024-03-13T21:19:47Z,B08266SRVP,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-04-13T05:26:13Z,B01MSWC05T,ReadingView,RemoveBookmark,No,Kindle for iOS,Not Available,US
2024-03-14T03:28:22Z,B0C7QYS91W,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-04-13T05:27:53Z,B01MSWC05T,ReadingView,RemoveBookmark,No,Kindle for iOS,Not Available,US
2024-03-01T15:14:38Z,B0994RZ2L1,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-02-25T21:50:57Z,B0B232HFC9,ReadingView,RemoveBookmark,No,Kindle for iOS,Not Available,US
2022-04-30T15:47:54Z,B07KWL5L8Y,ReadingViewAndMenu,RemoveBookmark,No,Kindle for iOS,Not Available,US
2024-03-04T03:50:50Z,B01MTZDCUN,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-04-13T05:27:51Z,B01MSWC05T,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-03-16T08:36:04Z,B017S3J3X6,ReadingView,RemoveBookmark,No,Kindle for iOS,Not Available,US
2024-03-21T02:11:29Z,B00NEQRNVG,ReadingView,RemoveBookmark,No,Kindle for iOS,Not Available,US
2024-03-25T03:25:00Z,B00V3MY186,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-04-02T14:03:32Z,5BEA93B92BE3430FB2DF09D918F5365C,ReadingView,RemoveBookmark,No,Kindle for iOS,Not Available,US
2024-03-09T05:26:17Z,B071NRXLXB,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-03-28T01:57:47Z,B0BC16PP4Z,ReadingView,RemoveBookmark,No,Kindle for iOS,Not Available,US
2024-04-02T01:25:58Z,B0BHLBHG79,ReadingView,RemoveBookmark,No,Kindle for iOS,Not Available,US
2024-03-09T05:26:19Z,B071NRXLXB,ReadingView,RemoveBookmark,No,Kindle for iOS,Not Available,US
2024-02-24T17:47:17Z,B08K62VYDJ,ReadingView,RemoveBookmark,No,Kindle for iOS,Not Available,US
2024-03-17T04:25:12Z,B0757CRTLY,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-03-21T03:07:05Z,B0183KJZE0,ReadingView,RemoveBookmark,No,Kindle for iOS,Not Available,US
2024-04-01T03:00:21Z,B09Z7BYZS3,ReadingView,RemoveBookmark,No,Kindle for iOS,Not Available,US
2024-03-07T21:19:53Z,B083TZV25B,ReadingView,RemoveBookmark,No,Kindle for iOS,Not Available,US
2024-03-19T04:53:13Z,B008673ZAQ,ReadingView,RemoveBookmark,No,Kindle for iOS,Not Available,US
2024-03-20T03:56:47Z,B008UCJ7KO,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-04-01T03:00:30Z,B09Z7BYZS3,ReadingView,RemoveBookmark,No,Kindle for iOS,Not Available,US
2024-03-13T21:17:05Z,B08266SRVP,ReadingView,RemoveBookmark,No,Kindle for iOS,Not Available,US
2024-03-02T05:39:25Z,B0994RZ2L1,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-03-03T00:52:14Z,B09QY2KWKY,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-03-18T20:54:19Z,B00846REIS,ReadingView,RemoveBookmark,No,Kindle for iOS,Not Available,US
2024-03-02T05:07:55Z,B0994RZ2L1,ReadingView,RemoveBookmark,No,Kindle for iOS,Not Available,US
2024-03-14T02:16:05Z,B0C7QYS91W,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
