Country code,source_type,type,Subscription Type,Subscription ID,benefit_type,start_time,end_time
US,Subscription,KINDLE_UNLIMITED,ALL_YOU_CAN_READ,D9AAAQBNDQYZQJJ79NB1,SUBSCRIPTION_BENEFIT,2024-02-24T02:55:23Z,2025-03-25T03:05:23Z
US,Subscription,KINDLE_UNLIMITED,FREE_AUDIBLE_COMPANION,D9AAAQBNDQYZQJJ79NB1,AUDIBLE_BENEFIT,2024-02-24T02:55:23Z,2025-03-25T03:05:23Z
